language,f_a,f_b,f_c,f_d,f_e,f_f,f_g,f_h,f_i,f_j,f_k,f_l,f_m,f_n,f_ñ,f_o,f_p,f_q,f_r,f_s,f_t,f_u,f_v,f_w,f_x,f_y,f_z,f_á,f_é,f_í,f_ó,f_ú,f_ü
English,0.0866141732283464,0.0118110236220472,0.0118110236220472,0.0629921259842519,0.1102362204724409,0.0078740157480314,0.0118110236220472,0.0354330708661417,0.0590551181102362,0.0039370078740157,0.0,0.0433070866141732,0.0196850393700787,0.0708661417322834,0.0,0.0472440944881889,0.0118110236220472,0.0,0.0472440944881889,0.0551181102362204,0.0551181102362204,0.0236220472440944,0.0039370078740157,0.0196850393700787,0.0118110236220472,0.0157480314960629,0.0039370078740157,0.0,0.0,0.0,0.0,0.0,0.0
Spanish,0.1034482758620689,0.0156739811912225,0.0626959247648902,0.0501567398119122,0.0971786833855799,0.0031347962382445,0.006269592476489,0.006269592476489,0.0595611285266457,0.0,0.0,0.0470219435736677,0.0219435736677116,0.0689655172413793,0.0,0.0564263322884012,0.006269592476489,0.0,0.0501567398119122,0.0376175548589341,0.0438871473354232,0.0282131661442006,0.018808777429467,0.0,0.0031347962382445,0.0031347962382445,0.0031347962382445,0.0,0.0031347962382445,0.006269592476489,0.0094043887147335,0.0,0.0
Spanish,0.1049723756906077,0.0220994475138121,0.0386740331491712,0.0607734806629834,0.0939226519337016,0.0,0.0,0.0165745856353591,0.0718232044198895,0.005524861878453,0.005524861878453,0.0441988950276243,0.011049723756906,0.0828729281767955,0.0,0.0607734806629834,0.0165745856353591,0.0,0.0828729281767955,0.0441988950276243,0.0276243093922651,0.011049723756906,0.011049723756906,0.005524861878453,0.0,0.005524861878453,0.0,0.005524861878453,0.0,0.011049723756906,0.005524861878453,0.0,0.0
English,0.1209677419354838,0.0053763440860215,0.021505376344086,0.0403225806451612,0.0698924731182795,0.0161290322580645,0.0134408602150537,0.0268817204301075,0.0887096774193548,0.0134408602150537,0.0188172043010752,0.0456989247311828,0.0349462365591397,0.0510752688172043,0.0,0.0376344086021505,0.0188172043010752,0.0026881720430107,0.064516129032258,0.043010752688172,0.064516129032258,0.0080645161290322,0.010752688172043,0.0053763440860215,0.0,0.0053763440860215,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spanish,0.1070110701107011,0.025830258302583,0.029520295202952,0.040590405904059,0.1143911439114391,0.003690036900369,0.014760147601476,0.011070110701107,0.051660516605166,0.0,0.003690036900369,0.044280442804428,0.018450184501845,0.07380073800738,0.0,0.047970479704797,0.011070110701107,0.014760147601476,0.051660516605166,0.03690036900369,0.047970479704797,0.047970479704797,0.018450184501845,0.0,0.0,0.003690036900369,0.003690036900369,0.0,0.003690036900369,0.007380073800738,0.003690036900369,0.0,0.0
English,0.0598958333333333,0.0091145833333333,0.0455729166666666,0.0247395833333333,0.1002604166666666,0.0143229166666666,0.015625,0.0364583333333333,0.0807291666666666,0.0,0.0091145833333333,0.0286458333333333,0.03125,0.0598958333333333,0.0,0.078125,0.0286458333333333,0.0,0.0494791666666666,0.0546875,0.06640625,0.0169270833333333,0.0078125,0.015625,0.0,0.0130208333333333,0.0013020833333333,0.0,0.0,0.0,0.0,0.0,0.0
English,0.0808823529411764,0.0,0.0367647058823529,0.0220588235294117,0.0808823529411764,0.0294117647058823,0.0367647058823529,0.0147058823529411,0.0955882352941176,0.0,0.0,0.0588235294117647,0.0367647058823529,0.0661764705882353,0.0,0.0735294117647058,0.0,0.0073529411764705,0.0588235294117647,0.0294117647058823,0.0588235294117647,0.0514705882352941,0.0073529411764705,0.0073529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spanish,0.0921052631578947,0.0026315789473684,0.0078947368421052,0.0526315789473684,0.1342105263157894,0.0052631578947368,0.0078947368421052,0.0078947368421052,0.05,0.0052631578947368,0.0,0.0578947368421052,0.0289473684210526,0.0552631578947368,0.0026315789473684,0.0684210526315789,0.0131578947368421,0.0052631578947368,0.0552631578947368,0.0631578947368421,0.0421052631578947,0.0078947368421052,0.0105263157894736,0.0,0.0026315789473684,0.0026315789473684,0.0,0.0,0.0,0.0026315789473684,0.0,0.0026315789473684,0.0
Spanish,0.1039501039501039,0.0083160083160083,0.0311850311850311,0.0353430353430353,0.081081081081081,0.0,0.0083160083160083,0.0103950103950103,0.0686070686070686,0.0062370062370062,0.0,0.0478170478170478,0.0374220374220374,0.0582120582120582,0.0,0.0748440748440748,0.0166320166320166,0.0,0.0602910602910602,0.0914760914760914,0.0395010395010395,0.0187110187110187,0.0041580041580041,0.0,0.002079002079002,0.0083160083160083,0.0041580041580041,0.0062370062370062,0.0,0.0,0.0083160083160083,0.0,0.0
English,0.06875,0.0109375,0.04375,0.028125,0.0875,0.015625,0.0125,0.0390625,0.0921875,0.0,0.003125,0.046875,0.0203125,0.0640625,0.0,0.05625,0.0140625,0.0,0.0390625,0.0625,0.0828125,0.0140625,0.0140625,0.0109375,0.0,0.0078125,0.0015625,0.0,0.0,0.0,0.0,0.0,0.0
Spanish,0.0992647058823529,0.0183823529411764,0.0625,0.0551470588235294,0.0955882352941176,0.0036764705882352,0.0073529411764705,0.0,0.0919117647058823,0.0036764705882352,0.0036764705882352,0.0367647058823529,0.0220588235294117,0.0661764705882353,0.0,0.0514705882352941,0.0220588235294117,0.0,0.0551470588235294,0.0294117647058823,0.0477941176470588,0.0367647058823529,0.0147058823529411,0.0036764705882352,0.0,0.0036764705882352,0.0073529411764705,0.0,0.0,0.0,0.0147058823529411,0.0,0.0
Spanish,0.0968523002421307,0.009685230024213,0.036319612590799,0.0629539951573849,0.1041162227602905,0.0048426150121065,0.0169491525423728,0.0072639225181598,0.0532687651331719,0.0,0.0,0.0338983050847457,0.0217917675544794,0.0532687651331719,0.0,0.0823244552058111,0.0193704600484261,0.0072639225181598,0.0653753026634382,0.0702179176755447,0.0411622276029055,0.0266343825665859,0.009685230024213,0.0,0.0,0.0072639225181598,0.0024213075060532,0.0024213075060532,0.0,0.0,0.0,0.0,0.0
Spanish,0.1079545454545454,0.0238636363636363,0.0329545454545454,0.0306818181818181,0.0795454545454545,0.0125,0.0045454545454545,0.0045454545454545,0.0568181818181818,0.0079545454545454,0.0,0.0363636363636363,0.0227272727272727,0.075,0.0011363636363636,0.0727272727272727,0.0204545454545454,0.0056818181818181,0.0534090909090909,0.0352272727272727,0.0329545454545454,0.034090909090909,0.0193181818181818,0.0045454545454545,0.0011363636363636,0.0181818181818181,0.009090909090909,0.0,0.0034090909090909,0.0022727272727272,0.0125,0.0011363636363636,0.0
Spanish,0.1147540983606557,0.0,0.0437158469945355,0.0437158469945355,0.1366120218579235,0.0109289617486338,0.0163934426229508,0.0163934426229508,0.0382513661202185,0.0054644808743169,0.0,0.0546448087431694,0.0163934426229508,0.0546448087431694,0.0,0.0601092896174863,0.0382513661202185,0.0,0.0437158469945355,0.0765027322404371,0.0218579234972677,0.0163934426229508,0.0054644808743169,0.0,0.0054644808743169,0.0,0.0054644808743169,0.0054644808743169,0.0,0.0,0.0,0.0,0.0
